ID, Category, Difficulty, FEN, Solution, GameLink, Date, Opening
15, Pezzo Appeso, Facile, r1b1k3/1p4R1/2p5/2Ppp3/1B1P2p1/P5P1/7P/6K1 w - - 0 36, d4e5, https://www.chess.com/game/live/172394111582, 2026-08-01, French Defense
16, Tattica Generica, Difficile, r1bqk1nr/pppp1ppp/2n5/2b1P3/2Bp4/5N2/PPP2PPP/RNBQK2R b KQkq - 0 5, g8e7, https://www.chess.com/game/live/172193418018, 2026-07-28, Scotch Game
17, Tattica Generica, Difficile, r1b1k1nr/ppppqppp/2n5/2b1P3/2Bp4/5N2/PPP2PPP/RNBQ1RK1 b kq - 2 6, d7d5, https://www.chess.com/game/live/172193418018, 2026-07-28, Scotch Game
18, Tattica Generica, Difficile, r1b1k1nr/ppppq1pp/5p2/2b1n3/2Bp1B2/5N2/PPP2PPP/RN1QR1K1 b kq - 1 8, d7d6, https://www.chess.com/game/live/172193418018, 2026-07-28, Scotch Game
19, Tattica Generica, Difficile, r3k2r/pppnq1pp/3p4/4p3/3p4/2P2N2/PP3PPP/R2QR1K1 b kq - 0 15, d4c3, https://www.chess.com/game/live/172193418018, 2026-07-28, Scotch Game
20, Tattica Generica, Facile, r4rk1/pppnq1pp/3p4/4p3/3P4/5N2/PP3PPP/R2QR1K1 b - - 0 16, e7f6, https://www.chess.com/game/live/172193418018, 2026-07-28, Scotch Game
21, Pezzo Appeso, Media, 2kr3r/pppq1ppp/2np1n2/2b1p3/2B1P3/2PP1N1b/PP1N1PP1/R1BQR1K1 w - - 0 10, g2h3, https://www.chess.com/game/live/172193180684, 2026-07-28, Italian Game
22, Pezzo Appeso, Media, 2kr3r/pppq1p2/2np1n2/2b1pNp1/2B1P3/2PP1Npb/PP3P2/R1BQR1K1 w - - 0 14, f5g3, https://www.chess.com/game/live/172193180684, 2026-07-28, Italian Game
23, Forchetta, Difficile, r3r1k1/2p2ppp/2p5/p3n3/8/P1P1B3/5PPP/2R1R1K1 b - - 1 21, e5d3, https://www.chess.com/game/live/172183080088, 2026-07-28, Bishop's Opening
24, Tattica Generica, Media, 5k2/2p2ppp/2p5/p7/P1nB4/1rP2P2/2R3PP/6K1 b - - 4 30, b3b1, https://www.chess.com/game/live/172183080088, 2026-07-28, Bishop's Opening
25, Tattica Generica, Difficile, 6k1/p3bppp/n1p2n2/q1Pp4/3P1N2/P4PP1/3r1PBP/R3QRK1 b - - 5 21, e7d8, https://www.chess.com/game/live/172158682700, 2026-07-27, English Opening
26, Forchetta, Facile, 7Q/p3kpp1/2R5/3pb3/3q1P2/6PN/3n1PBP/4R1K1 b - - 2 35, d4e4, https://www.chess.com/game/live/172158682700, 2026-07-27, English Opening
27, Tattica Generica, Media, r1b2rk1/1pQ1bppp/p1p1p3/5q1n/8/P1N1B3/BP3PPP/R3R1K1 b - - 5 17, e7d8, https://www.chess.com/game/live/172146735240, 2026-07-27, Queen's Gambit
28, Tattica Generica, Media, r2b1rk1/ppp2ppp/2n5/4p3/2B1PB2/2P2b2/PP3PPP/R3RNK1 w - - 0 13, f4g3, https://www.chess.com/game/live/172145885924, 2026-07-27, Italian Game
29, Tattica Generica, Facile, 6k1/p1p3pp/3bp3/R7/P3P3/6PK/4rr1P/8 w - - 6 29, e4e5, https://www.chess.com/game/live/172145885924, 2026-07-27, Italian Game
30, Tattica Generica, Facile, 6k1/R1p3pp/P2bp3/7r/8/4r1P1/6K1/8 w - - 3 37, g2f2, https://www.chess.com/game/live/172145885924, 2026-07-27, Italian Game
31, Tattica Generica, Difficile, 5rk1/ppp3p1/1b2prq1/1b1pR1Np/3P4/P1P1N2P/1P3PP1/R2Q2K1 b - - 7 20, c7c5, https://www.chess.com/game/live/172144207008, 2026-07-27, Nimzowitsch Defense
32, Tattica Generica, Difficile, 5rk1/ppp3p1/1b2p1q1/1b1pR1Np/3P3P/P1P1N3/1P3rP1/R2Q2K1 b - - 0 21, b5d7, https://www.chess.com/game/live/172144207008, 2026-07-27, Nimzowitsch Defense
33, Tattica Generica, Difficile, 5rk1/ppp3p1/1b2R1q1/1b1p2Np/3P3P/P1P1N3/1r4P1/R2Q2K1 b - - 0 22, f8f6, https://www.chess.com/game/live/172144207008, 2026-07-27, Nimzowitsch Defense
34, Tattica Generica, Difficile, r1bq3r/1ppp1kpp/2n5/1p6/3P4/8/PP1Q1PPP/R4RK1 b - - 1 13, d7d6, https://www.chess.com/game/live/172090289574, 2026-07-26, Italian Game
35, Tattica Generica, Media, r1bq2kr/1p2n1pp/2pp4/1p1P2Q1/8/8/PP3PPP/2R1R1K1 b - - 1 17, h7h6, https://www.chess.com/game/live/172090289574, 2026-07-26, Italian Game
36, Pezzo Appeso, Difficile, r6r/1p2k2p/6p1/1p1R4/8/8/PP3PPP/2R3K1 b - - 0 23, a8a2, https://www.chess.com/game/live/172090289574, 2026-07-26, Italian Game
37, Tattica Generica, Media, 8/1r6/8/5P2/1k3K2/6P1/8/8 b - - 1 50, b4c5, https://www.chess.com/game/live/172090289574, 2026-07-26, Italian Game
38, Tattica Generica, Media, 8/8/2k2Pr1/5K2/6P1/8/8/8 b - - 2 55, g6h6, https://www.chess.com/game/live/172090289574, 2026-07-26, Italian Game
39, Tattica Generica, Media, 6r1/8/2k2P2/5KP1/8/8/8/8 b - - 0 56, c6d7, https://www.chess.com/game/live/172090289574, 2026-07-26, Italian Game
40, Forchetta, Media, 3r2k1/p1p3p1/3qbp1p/4P3/P6P/3r4/1PQN1PP1/3R1RK1 b - - 0 22, d3d2, https://www.chess.com/game/live/172071731904, 2026-07-25, Italian Game
41, Tattica Generica, Difficile, 3r2k1/p1p3p1/3qb2p/4p3/P3N2P/3r4/1PQ2PP1/3R1RK1 b - - 1 23, d6d4, https://www.chess.com/game/live/172071731904, 2026-07-25, Italian Game
42, Pezzo Appeso, Difficile, r1bq1rk1/ppppbpp1/2n2n1B/4p3/2B1P3/2NP1N2/PPPQ1PPP/R3K2R b KQ - 0 8, g7h6, https://www.chess.com/game/live/172071319900, 2026-07-25, Italian Game
43, Tattica Generica, Media, r4rk1/ppp2pp1/1q1pb1P1/8/4P2P/1BPP1PQ1/P1P1K3/R6R b - - 0 21, e6b3, https://www.chess.com/game/live/172071319900, 2026-07-25, Italian Game
44, Tattica Generica, Media, r4rk1/ppp3p1/1q1pbpP1/7P/4P3/1BPP1PQ1/P1P1K3/R6R b - - 0 22, e6b3, https://www.chess.com/game/live/172071319900, 2026-07-25, Italian Game
45, Tattica Generica, Facile, 8/ppp3kR/1q1pr1P1/5r2/8/2PP1PQ1/P1PK4/R7 b - - 1 28, g7g8, https://www.chess.com/game/live/172071319900, 2026-07-25, Italian Game
46, Tattica Generica, Media, 1r1q1rk1/2pb1ppp/p1np1b2/3B4/1P1P4/4BN2/P2Q1PPP/1R2R1K1 b - - 0 17, c6e7, https://www.chess.com/game/live/172071053168, 2026-07-25, C91
47, Scoperta, Difficile, 3r1rk1/6pp/1q1Pp3/pp1n4/2p5/3P2N1/PP1Q1PPP/2R1R1K1 w - - 1 21, d3c4, https://www.chess.com/game/live/172064397554, 2026-07-25, Italian Game
48, Tattica Generica, Difficile, 5rk1/6pp/1q1r4/pp6/2p1R3/3n2N1/PP1Q1PPP/5RK1 w - - 0 24, d2c2, https://www.chess.com/game/live/172064397554, 2026-07-25, Italian Game
49, Tattica Generica, Media, 6k1/6pp/1q1r4/pp6/2p1R3/1P4N1/P4rPP/5RK1 w - - 0 26, f1f2, https://www.chess.com/game/live/172064397554, 2026-07-25, Italian Game
50, Tattica Generica, Facile, 4k3/6pp/1q1r4/pp6/2p5/1P4N1/P4RPP/6K1 w - - 0 28, h2h4, https://www.chess.com/game/live/172064397554, 2026-07-25, Italian Game
51, Tattica Generica, Facile, k3r3/pp4Q1/7p/6p1/3r4/2q5/P1P2PPP/2RR2K1 w - - 0 25, g7d4, https://www.chess.com/game/live/172026917786, 2026-07-24, Scandinavian Defense
52, Tattica Generica, Difficile, r1b1k1nr/p2p1pbp/1qp1p1p1/8/4P3/2NB4/PPP2PPP/R1BQ1RK1 w kq - 0 9, d1f3, https://www.chess.com/game/live/172026424670, 2026-07-24, Sicilian Defense
53, Tattica Generica, Difficile, 2r3k1/5p1p/R3b1p1/5p2/8/Q6P/p4PPK/q7 w - - 6 34, a3d6, https://www.chess.com/game/live/172026424670, 2026-07-24, Sicilian Defense
54, Tattica Generica, Facile, 8/5pkp/4b1p1/4qp2/8/Q6P/p4PPK/8 w - - 3 37, a3g3, https://www.chess.com/game/live/172026424670, 2026-07-24, Sicilian Defense
55, Scoperta, Difficile, rn2kb1r/ppp2ppp/1q2pn2/4N3/3P4/2N1B3/PPP1QPPP/R4RK1 w kq - 2 11, d4d5, https://www.chess.com/game/live/172025975646, 2026-07-24, Scandinavian Defense
56, Tattica Generica, Media, r4rk1/p4ppp/1pp1p3/1n6/1P1BN3/8/5PPP/2RR2K1 w - - 2 26, d4e3, https://www.chess.com/game/live/172025975646, 2026-07-24, Scandinavian Defense
57, Tattica Generica, Difficile, 3r1rk1/p4ppp/1pR1p3/1n6/1P1BN3/8/5PPP/3R2K1 w - - 1 27, e4d6, https://www.chess.com/game/live/172025975646, 2026-07-24, Scandinavian Defense
58, Tattica Generica, Facile, 3r1rk1/p1R2ppp/1p6/4p3/1P6/2N5/4nPPP/3R2K1 w - - 2 30, g1f1, https://www.chess.com/game/live/172025975646, 2026-07-24, Scandinavian Defense
59, Tattica Generica, Facile, r1b1kbnr/pppp1ppp/5q2/4n1N1/2BQP3/8/PPP2PPP/RNB1K2R b KQkq - 0 6, h7h6, https://www.chess.com/game/live/172024207390, 2026-07-24, Scotch Game
60, Tattica Generica, Facile, 4k2r/pQpNnppp/8/8/2N2q2/8/PPP3PP/1K1R4 b k - 2 18, f7f6, https://www.chess.com/game/live/172024207390, 2026-07-24, Scotch Game
61, Tattica Generica, Facile, 4r1k1/p2Nnppp/8/2p5/2N5/8/PPP3PP/1K2R3 b - - 4 22, f7f5, https://www.chess.com/game/live/172024207390, 2026-07-24, Scotch Game
62, Tattica Generica, Media, r1bq1rk1/ppppnpp1/2n4p/2b1P3/2Bp1B2/3Q1N2/PPP2PPP/R3K2R b KQ - 1 10, d7d5, https://www.chess.com/game/live/171931789512, 2026-07-22, Three Knights Opening
63, Forchetta, Facile, r4r1k/ppp3p1/2np3p/2bQ4/3pRpqN/P5P1/1PP2P1P/2K1R3 b - - 0 23, g4g5, https://www.chess.com/game/live/171931789512, 2026-07-22, Three Knights Opening
64, Tattica Generica, Facile, r4r1k/ppp3p1/2np3p/2bQ4/3p2RN/P5p1/1PP2P1P/2K1R3 b - - 0 24, c6e5, https://www.chess.com/game/live/171931789512, 2026-07-22, Three Knights Opening
65, Tattica Generica, Difficile, r4r1k/ppp3p1/2np3p/2bQ4/3p1PRN/P7/1PP4p/2K1R3 b - - 0 25, f8f6, https://www.chess.com/game/live/171931789512, 2026-07-22, Three Knights Opening
66, Tattica Generica, Media, 7k/ppp3p1/3p3p/2b5/5P1N/P2P4/1P1Kn2p/7Q b - - 1 31, e2g3, https://www.chess.com/game/live/171931789512, 2026-07-22, Three Knights Opening
67, Scoperta, Media, r3r1k1/1pp2ppp/p1p5/7b/5q2/3Qn3/P1PR2PP/4R1K1 b - - 1 22, e3g4, https://www.chess.com/game/live/171795692010, 2026-07-19, Spanish Game
68, Tattica Generica, Facile, r3r1k1/1ppQ1ppp/p1p3b1/8/5q2/4n3/P1PR2PP/4R1K1 b - - 3 23, f4g5, https://www.chess.com/game/live/171795692010, 2026-07-19, Spanish Game
69, Tattica Generica, Difficile, 2r3k1/p4ppp/1p6/3P4/2P2p2/8/q1PQ1PPP/4R1K1 w - - 0 23, d5d6, https://www.chess.com/game/live/171795328238, 2026-07-19, Nimzowitsch Defense
70, Tattica Generica, Difficile, 2r3k1/p4ppp/1p6/3P4/2P2Q2/8/2q2PPP/4R1K1 w - - 0 24, f4c7, https://www.chess.com/game/live/171795328238, 2026-07-19, Nimzowitsch Defense
71, Tattica Generica, Media, 2r3k1/p3Qpp1/1p5p/3P4/2q5/8/5PPP/4R1K1 w - - 0 26, d5d6, https://www.chess.com/game/live/171795328238, 2026-07-19, Nimzowitsch Defense
72, Tattica Generica, Facile, 6k1/5pp1/1Q5p/8/8/8/3q1PPP/2r2RK1 w - - 3 31, g2g3, https://www.chess.com/game/live/171795328238, 2026-07-19, Nimzowitsch Defense
73, Tattica Generica, Facile, 6k1/5pp1/1Q5p/8/5q2/6PP/5r1K/8 w - - 0 34, b6f2, https://www.chess.com/game/live/171795328238, 2026-07-19, Nimzowitsch Defense
74, Tattica Generica, Difficile, 2r5/p2k2pp/5p2/2PK4/4P3/P6P/6P1/2R5 b - - 0 36, c8d8, https://www.chess.com/game/live/171791880034, 2026-07-19, E00
75, Tattica Generica, Difficile, 8/2r4p/5Kp1/p1Pk4/P5PP/8/8/2R5 b - - 0 42, d5c6, https://www.chess.com/game/live/171791880034, 2026-07-19, E00
76, Tattica Generica, Difficile, rnb1kbnr/ppp2ppp/4q3/8/3Pp3/2N1P3/PP2NPPP/R1BQKB1R b KQkq - 3 6, f8d6, https://www.chess.com/game/live/171782777914, 2026-07-19, Irregular Openings
77, Tattica Generica, Difficile, rn1q1rk1/p1p2ppp/1p1ppn2/3bN3/3P4/1PBB4/P1P2PPP/R2Q1RK1 w - - 0 11, e5g4, https://www.chess.com/game/live/171775192874, 2026-07-19, Nimzowitsch Defense
78, Scoperta, Media, 3r1rk1/p3qpp1/1p1pbn2/2p3QP/4P3/2NB1P2/PPP5/1K1R3R b - - 0 18, f6d5, https://www.chess.com/game/live/171774845388, 2026-07-19, Scotch Game
79, Tattica Generica, Media, 3r1rk1/p3qpp1/1p1pbn2/6QP/2p1P3/2N2P2/PPP1B3/1K1R3R b - - 1 19, g8h8, https://www.chess.com/game/live/171774845388, 2026-07-19, Scotch Game
80, Tattica Generica, Difficile, 3r1rk1/p3qpp1/1p2bn2/3pP1QP/2p5/2N2P2/PPP1B3/1K1R3R b - - 0 20, g8h7, https://www.chess.com/game/live/171774845388, 2026-07-19, Scotch Game
81, Forchetta, Media, 3R4/2r2kp1/3N1p1p/4n3/2P5/1P5P/5KP1/8 b - - 5 39, f7e7, https://www.chess.com/game/live/171760955432, 2026-07-19, Italian Game
82, Tattica Generica, Difficile, 8/p5p1/1p5p/3p1k2/3K1P2/2P3P1/P6P/8 b - - 5 31, f5g4, https://www.chess.com/game/live/171755612704, 2026-07-18, Scotch Game
83, Pezzo Appeso, Media, 8/p5p1/1p2k2p/3p1P2/3K4/2P3P1/P6P/8 b - - 0 32, e6f5, https://www.chess.com/game/live/171755612704, 2026-07-18, Scotch Game
84, Tattica Generica, Facile, 8/6p1/3k1P2/pp1p2P1/3K4/2P5/P7/8 b - - 0 37, g7f6, https://www.chess.com/game/live/171755612704, 2026-07-18, Scotch Game
85, Tattica Generica, Difficile, 3r1rk1/p1p3pp/1p6/1PbbppB1/P7/2PP1B2/5PPP/1R3RK1 b - - 2 21, d8d7, https://www.chess.com/game/live/171739443450, 2026-07-18, King's Pawn Opening
86, Pezzo Appeso, Difficile, r5k1/2p3pp/1p1b4/1p3p2/P2PP3/2P1R3/6PP/3R2K1 b - - 0 30, b5a4, https://www.chess.com/game/live/171739443450, 2026-07-18, King's Pawn Opening
87, Pezzo Appeso, Difficile, 4r1k1/2p1b1pp/1p6/1p2Pp2/P2P4/2P1R3/6PP/5RK1 b - - 2 32, b5a4, https://www.chess.com/game/live/171739443450, 2026-07-18, King's Pawn Opening
88, Pezzo Appeso, Facile, r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/5Q2/PPPP1PPP/RNB1K2R b KQkq - 1 6, d8g5, https://www.chess.com/game/live/171739402108, 2026-07-18, Italian Game
89, Pezzo Appeso, Difficile, rn1qkb1r/pp3ppp/4pn2/2p5/3P4/5B2/PPP1NPPP/R1BQK2R w KQkq - 0 9, f3b7, https://www.chess.com/game/live/171711304890, 2026-07-17, Caro-Kann Defense
90, Scoperta, Difficile, r2qkb1r/pp3ppp/2n1pn2/2p5/3P4/4BB2/PPP1NPPP/R2QK2R w KQkq - 2 10, d4c5, https://www.chess.com/game/live/171711304890, 2026-07-17, Caro-Kann Defense
91, Tattica Generica, Facile, 3r2k1/5p1p/1p4p1/5p2/2p5/P7/1PP3PP/5R1K w - - 0 30, h1g1, https://www.chess.com/game/live/171711304890, 2026-07-17, Caro-Kann Defense
92, Tattica Generica, Difficile, r2q1rk1/ppp2ppp/2np1nb1/2bNp1B1/2B1P1P1/3P1N1P/PPP2P2/R2Q1RK1 b - - 2 10, c6b4, https://www.chess.com/game/live/171711002806, 2026-07-17, Italian Game
93, Tattica Generica, Difficile, r4rk1/p4pp1/1p2p2p/2p1B3/2P1n3/1R6/1P3PPP/5RK1 w - - 3 26, b3d3, https://www.chess.com/game/live/171709709602, 2026-07-17, Nimzowitsch Defense
94, Tattica Generica, Difficile, 5r2/8/R7/2p5/2k1p3/p5K1/6P1/1r6 w - - 0 57, g3h2, https://www.chess.com/game/live/171709709602, 2026-07-17, Nimzowitsch Defense
95, Tattica Generica, Difficile, r1b1kbnr/pp3ppp/2n1p3/2ppP3/Nq1P4/5N2/PPP2PPP/R1BQKB1R w KQkq - 6 7, c2c3, https://www.chess.com/game/live/171705291614, 2026-07-17, C02
96, Tattica Generica, Difficile, r1b1kbnr/pp3ppp/2n1p3/q2pP3/N2p4/P4N2/1PP2PPP/R1BQKB1R w KQkq - 3 10, c1d2, https://www.chess.com/game/live/171705291614, 2026-07-17, C02
97, Tattica Generica, Difficile, 7r/Q3rppp/1pk1p3/4q3/1b1p4/8/2P2PPP/R1R3K1 w - - 1 29, a7a2, https://www.chess.com/game/live/171705291614, 2026-07-17, C02
98, Tattica Generica, Difficile, 3r1rk1/1pp2ppp/p1p5/8/2P1PP2/3P4/P1P2P1P/1R3RK1 b - - 2 17, b7b5, https://www.chess.com/game/live/171704872126, 2026-07-17, Spanish Game
99, Pezzo Appeso, Facile, 2R1Q3/8/2P3kp/5p2/8/3K4/8/4r3 b - - 3 47, e1e8, https://www.chess.com/game/live/171704872126, 2026-07-17, Spanish Game
100, Tattica Generica, Media, r3nrk1/pp6/4p3/1Nbp3p/8/P1Q3R1/1P3q2/1K2R3 b - - 5 27, g8h7, https://www.chess.com/game/live/171704342328, 2026-07-17, E00
101, Pezzo Appeso, Media, r2qk1r1/1p3p2/p2p1n1p/4P3/4P2b/2NBB2b/PPPQ2PP/R4RK1 w q - 1 17, e5f6, https://www.chess.com/game/live/171664072814, 2026-07-16, Sicilian Defense
102, Tattica Generica, Difficile, r2qk3/1p3p2/p2p1n1p/4P3/4P2b/2NBBR1b/PPPQ2rP/R5K1 w q - 0 18, d2g2, https://www.chess.com/game/live/171664072814, 2026-07-16, Sicilian Defense
103, Tattica Generica, Facile, 3rr1k1/2p2ppp/1p2qn2/2p1p3/4PP2/P1PPQ3/1B3P1P/R2R2K1 b - - 0 21, f6g4, https://www.chess.com/game/live/171577978498, 2026-07-14, Spanish Game
104, Tattica Generica, Media, r1bqk1nr/1pp2ppp/p1pb4/8/3QP3/5N2/PPP2PPP/RNB2RK1 b kq - 0 7, f7f6, https://www.chess.com/game/live/171533263354, 2026-07-13, Spanish Game
105, Tattica Generica, Difficile, r1bk1bnr/2p5/1p3p2/p3p1pp/4P3/2NBB3/PPP2PPP/2KR3R w - - 0 12, d3b5, https://www.chess.com/game/live/171532370774, 2026-07-13, Scotch Game
106, Tattica Generica, Media, r1bk1b1r/2p1n3/1p3p2/p3p1pp/4P3/2NBB3/PPP2PPP/1K1R3R w - - 2 13, d3b5, https://www.chess.com/game/live/171532370774, 2026-07-13, Scotch Game
107, Tattica Generica, Difficile, 6r1/2p1nkP1/1p6/p3p3/4r2p/4B2R/PPP2P2/1K4R1 w - - 1 29, h3f3, https://www.chess.com/game/live/171532370774, 2026-07-13, Scotch Game
108, Tattica Generica, Difficile, 6r1/2p2kP1/1p6/p3pnB1/3r3p/5P1R/PPP5/1K4R1 w - - 1 31, c2c3, https://www.chess.com/game/live/171532370774, 2026-07-13, Scotch Game
109, Tattica Generica, Facile, 8/2p2kn1/1p6/p7/3r1p1B/7R/PPP5/1K6 w - - 0 34, c2c3, https://www.chess.com/game/live/171532370774, 2026-07-13, Scotch Game
110, Tattica Generica, Difficile, rnb1k1nr/pppp1ppp/3q4/2bNp3/4P3/5N2/PPPP1PPP/R1BQKB1R w KQkq - 6 5, d2d4, https://www.chess.com/game/live/171501463460, 2026-07-13, King's Pawn Opening
111, Tattica Generica, Facile, rn2k1nr/ppb3p1/2pp1pq1/4p3/1PBPP2p/P1N1BN1b/2PQ1PP1/R4RK1 w kq - 0 16, f3g5, https://www.chess.com/game/live/171501463460, 2026-07-13, King's Pawn Opening
112, Scoperta, Difficile, rnb1kb1r/pppp1ppp/2q5/3nP3/3P1B2/6P1/P2NN2P/2RQKB1R b Kkq - 3 10, d5f4, https://www.chess.com/game/live/171489386610, 2026-07-12, C33
113, Tattica Generica, Media, rnb1kb1r/pppp1ppp/4q3/4P3/3P1N1P/6P1/P2N4/2RQKB1R b Kkq - 0 12, e6h6, https://www.chess.com/game/live/171489386610, 2026-07-12, C33
114, Pezzo Appeso, Media, 2r2rk1/pppN1ppp/3qb3/8/3Pp3/PPQ1P1P1/1B3P1P/R4RK1 b - - 0 18, e6d7, https://www.chess.com/game/live/171478683364, 2026-07-12, D35
115, Tattica Generica, Difficile, 8/3k4/5K2/6B1/8/4P2P/8/8 b - - 4 53, d7c6, https://www.chess.com/game/live/171478683364, 2026-07-12, D35
116, Tattica Generica, Difficile, 8/3k1K2/7B/8/8/4P2P/8/8 b - - 8 55, d7d6, https://www.chess.com/game/live/171478683364, 2026-07-12, D35
117, Tattica Generica, Difficile, r2r2k1/ppp2ppp/1b6/8/1P1Pb1P1/P4N1P/3KBP2/R6R w - - 3 19, h1d1, https://www.chess.com/game/live/171475905636, 2026-07-12, Alekhine's Defense
118, Tattica Generica, Difficile, 3q3k/2p3pp/3p1p2/8/4r3/Q1P5/Pr4PP/R4RK1 b - - 1 23, e4e2, https://www.chess.com/game/live/171471230544, 2026-07-12, Vienna Game
119, Tattica Generica, Difficile, 4r2k/2p1q1pp/3p1p2/8/2P5/8/P3r1PP/R1Q2RK1 b - - 0 27, e7e4, https://www.chess.com/game/live/171471230544, 2026-07-12, Vienna Game
120, Tattica Generica, Facile, 7k/2p3pp/3p1p2/P7/2P5/8/2r1r1PP/RR4K1 b - - 2 31, e2g2, https://www.chess.com/game/live/171471230544, 2026-07-12, Vienna Game
121, Tattica Generica, Media, rn1qk1nr/pppbbppp/3pp3/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 4 5, f1c4, https://www.chess.com/game/live/171471208194, 2026-07-12, French Defense
122, Tattica Generica, Difficile, r4rk1/5ppp/1p3b2/pPq1p3/P2pPnP1/3B1N1P/2PQ1P1K/R4R2 b - - 2 23, f6e7, https://www.chess.com/game/live/171470554448, 2026-07-12, King's Pawn Opening
123, Matto Mancato, Facile, 3r2k1/5pp1/1p5p/pP6/P3q3/5P1P/6K1/Q7 b - - 0 46, d8d2, https://www.chess.com/game/live/171470554448, 2026-07-12, King's Pawn Opening
124, Matto Mancato, Facile, 3r2k1/5pp1/1p5p/pP6/P7/5PKP/4q3/Q7 b - - 2 47, d8d3, https://www.chess.com/game/live/171470554448, 2026-07-12, King's Pawn Opening
125, Tattica Generica, Facile, 8/5kpp/3pR3/p2P4/3r1r2/1P6/P4PPP/3R2K1 w - - 4 27, d1e1, https://www.chess.com/game/live/171440478094, 2026-07-11, Italian Game
126, Tattica Generica, Media, r2qk2r/1ppbbpp1/p2p2np/3Pp3/P1B1P3/2N1PN1P/1PP3P1/R3QRK1 w kq - 3 13, a4a5, https://www.chess.com/game/live/171424188024, 2026-07-11, Italian Game
127, Tattica Generica, Difficile, r5k1/1ppB2p1/p6p/3p4/PP1q2Nn/4p2P/5RP1/5R1K w - - 0 32, d7e6, https://www.chess.com/game/live/171424188024, 2026-07-11, Italian Game
128, Pezzo Appeso, Difficile, r1bqk2r/pppp1Bpp/2n5/2b5/3pP1n1/5N2/PPP2PPP/RNBQR1K1 b kq - 0 7, e8f7, https://www.chess.com/game/live/171423852710, 2026-07-11, Italian Game
129, Tattica Generica, Facile, r1bq3r/ppp2kpp/2np4/2b1P3/8/3QPN2/PPP3PP/RN3RK1 b - - 1 12, f7e8, https://www.chess.com/game/live/171423852710, 2026-07-11, Italian Game
130, Tattica Generica, Facile, r1bq2kr/ppp3pp/2np4/2b1P3/8/3QPN2/PPP3PP/RN3R1K b - - 3 13, c8e6, https://www.chess.com/game/live/171423852710, 2026-07-11, Italian Game
